neg,neu,pos,q,preds,category,texts,processed,wc,uwc,hit
0.35947754003498933,0.48575641429867056,0.15318637740762173,0.001579668258718427,neu,neu,เห็นคนลบแอพ viu ก็เห็นใจและเข้าใจเขานะคะ แผลมันยังใหม่แถมอารมณ์ยิ่งโดนสะกิดง่ายอยู่นี่เนอะ5555555 ส่วนทางนี้ก็กอด netflix แน่นมาก เธออย่าทำร้ายเรานะ เรารู้เธอไม่ทำร้ายเราแน่นอน,เห็น|คน|ลบ|แอพ|viu|ก็|เห็น|ใจ|และ|เข้าใจ|เขา|นะ|คะ|แผล|มัน|ยัง|ใหม่|แถม|อารมณ์ยิ่ง|โดน|สะกิด|ง่าย|อยู่|นี่|เนอะ|5xxrep|ส่วน|ทาง|นี้|ก็|กอด|netflix|แน่น|มาก|เธอ|อย่า|ทำร้าย|เรา|นะ|เรา|รู้|เธอ|ไม่|ทำร้าย|เรา|แน่นอน,46,39,True
0.10313628014018074,0.862839653026565,0.027964121330715686,0.006059945502538618,neu,neu,ไปชมไม้คิวของแชมป์ และรองแชมป์ กันจ้า! ................................ เก็บตกจากการแข่งขัน แสงโสม สนุกเกอร์ 6 แดง โอเพ่น ประจำปี 2560 สนามที่ 2 ณ มังกี้ สนุกเกอร์ คลับ ซอยโชคชัย 4 ลาดพร้าว เมื่อวันที่ 12 ต.ค.60,ไป|ชมไม้|คิว|ของ|แชมป์|และ|รอง|แชมป์|กัน|จ้า|!|.xxrep|เก็บ|ตก|จาก|การ|แข่งขัน|แสง|โสม|สนุกเกอร์|6|แดง|โอเพ่น|ประจำ|ปี|2560|สนาม|ที่|2|ณ|มังกี้|สนุกเกอร์|คลับ|ซอยโชคชัย|4|ลาดพร้าว|เมื่อ|วัน|ที่|12|ต.ค.|60,42,39,True
0.27717010567356487,0.5985716115130398,0.12334658925737085,0.0009116935560244227,neu,neg,กลุ่มรถซีวิคเป็นกลุ่มที่น่ารำคานมากกกกกกกกก อวดรถกันได้ทุกวินาที อวดทำไมมึงก็ใช้รถเหมือนกันทุกคน ละก็พวกสก๊อยที่บอกว่าอวดรถแต่ถ่ายนมตัวเองชัดละรถเบลอนี่คือ?????,กลุ่ม|รถ|ซีวิค|เป็น|กลุ่ม|ที่|น่า|รำคาน|มาก|xxrep|อวด|รถ|กัน|ได้|ทุก|วินาที|อวด|ทำไม|มึง|ก็|ใช้|รถ|เหมือน|กัน|ทุก|คน|ละ|ก็|พวก|สก๊อย|ที่|บอก|ว่า|อวด|รถ|แต่|ถ่าย|นม|ตัว|เอง|ชัด|ละ|รถ|เบลอนี่|คือ|?|xxrep,47,34,False
0.06352046105652161,0.6572409402185836,0.2763975701706,0.0028410285542948273,neu,neu,อยากสวยเหมือนเจ้าของแบรนด์สิคะ เนย โชติกา ใบหน้าสวย ใสกิ๊ง แม้แต่งหน้า นี่ขนาดเป็นคุณแม่แล้วนะเนี่ยก็ยังสวยไม่สร่าง ผ่านไปกี่ปีๆก็ไม่เปลี่ยน ผิวดี๊ดี ความสวย.เราสร้างเองได้ด้วยตัวเอง ถ้าได้ใช้มาส์กโช ต้องสวยเหมือนโชติกาแน่นอนค่ะ #มาส์กโชสวยข้ามคืน #cho_cosmetics #daradaily #ดาราเดลี่,อยาก|สวย|เหมือน|เจ้าของ|แบรนด์|สิ|คะ|เนย|โชติกา|ใบ|หน้า|สวย|ใส|กิ๊ง|แม้|แต่ง|หน้า|นี่|ขนาด|เป็น|คุณ|แม่|แล้ว|นะ|เนี่ย|ก็|ยัง|สวย|ไม่|สร่าง|ผ่าน|ไป|กี่|ปี|ๆ|ก็|ไม่|เปลี่ยน|ผิว|ดี๊ดี|ความ|สวย|.|เรา|สร้าง|เอง|ได้|ด้วย|ตัว|เอง|ถ้า|ได้|ใช้|มาส์กโช|ต้อง|สวย|เหมือน|โชติกา|แน่นอน|ค่ะ|#|มาส์ก|โชสวย|ข้าม|คืน|#|cho_cosmetics|#|daradaily|#|ดารา|เดลี่,72,58,True
0.4446328703626495,0.5319198353401864,0.0234469547115949,3.3958556940876106e-07,neu,neg,ข้าวโถละร้อย แพง เพราะตักเป็นจานๆละ15 เต็มที่ก็5จาน คนไทยต้องกินข้าวประเทศทำนาข้าว กินข้าวในประเทศตัวเองหม้อเป็นร้อยเป็นลมดีกว่าค่าฉะเลี่ยถุง5โลไม่เกิน200เป็นข้าวมะลิ ไก่นี่ไม่รู้ว่าเป็นตัวหรือเปล่า แต่ถ้าตัวละ250บาทแพง ไก่ย่างขาย140-160 มีเยอะแยะยังได้กำไร แพงสุดไม่ควรเกินตัว200 ข้าวผัดปูจานใหญ่ 300ร้อยแพง ถ้าผัดเป็นจานๆละ50ผัด4จานก็เต็มถาดใหญ่แล้ว ส่วนเครื่องดืมด้านบนอะไร80ถ้าเป็นชาเย็นแพงมาก น้ำดืมขวดใหญ่ขวดละ50แพง บ้านเราเมืองร้อนอย่าเห็นแก่ตัว30ก็พอแล้ว คนต้องซื้อเยอะ เบียร์ช้างขวดละ120 กำไรครึ่งต่อครึ่งน่าเกลียดมา3ขวด360แพง โค๊ดขวดใหญ่ก็แพง แต่น้ำแข็งพอได้เพราะอากาศบ้านเราร้อนละลายง่ายอันนี้พอเข้าใจคนขาย แต่ทะเลเผาทะเลลวกไม่เห็นหน้าตาว่ามีอะไรบ้างก็กุ้งหมึกปูโละ300 ตัวกลางๆใส่มาอย่าง5ตัวปูสักตัว กำไรบานเบอะ ตำทะเลตำกุ้งสด150ไม่แพง กุ้งชุปแป้งทอดแพงมากๆ ต้มยำหม้อละ300ร้อยถือว่าแพงมาก เพราะมันใส่ได้ไม่เยอะหรอก มันดีตรงที่มีน้ำกับไฟอุ่นร้อน ของกินในบ้านยังแทบแตะไม่ได้ ทั้งที่ประก็อุดมสมบูรณ์ คนในประเทศยังกินไม่อิมส่งออกนอกพอมีน้อยเหลือน้อย ก็ขายให้กันแพงๆ ระบบแย่เอาเปรียบกันเอง ที่บ้านขายอาหารกับข้าวตามสั่งปรุ่งสุกใหม่ แค่จานละ100-150 คนยังว่าแพงทั้งที่บอกว่าอร่อย ถ้าไปเจอแบบนี้สงสัยช็อคตายคาร้านเลยมัง ถ้าต้องไปเจอทั้งแพงทั้งไม่อร่อยสักแต่ทำขาย ใครว่าไม่แพงยินดีด้วยที่คุณเป็นคนมีตัง แต่เรามองจากค่าแรงกลางๆของคนในประเทศนะ ซึ่งส่วนมากคนในประเทศไทยได้แต่ค่าแรงขั้นต่ำกับเบี้ยขยันเล็กน้อย คนจนเยอะกว่าคนรวยด้วย ทำอะไรต้องนึกถึงความสมควร นึกถึงกันและกัน แต่เราไม่ใช่คนเส้นตื้น ชอบมองและคิดจากความเป็นจริง ถึงขายให้ชาวต่างชาติก็เถอะ เหมือนคนไทยเอาเปรียบช่วยโอกาสและไม่ค่อยสัตย์ซื่อ,ข้าว|โถละร้อย|แพง|เพราะ|ตัก|เป็น|จาน|ๆ|ละ|15|เต็มที่|ก็|5|จาน|คน|ไทย|ต้อง|กิน|ข้าว|ประเทศ|ทำ|นา|ข้าว|กิน|ข้าว|ใน|ประเทศ|ตัว|เอง|หม้อ|เป็น|ร้อย|เป็น|ลม|ดี|กว่า|ค่า|ฉะเลี่ย|ถุง|5|โล|ไม่|เกิน|200|เป็น|ข้าว|มะลิ|ไก่|นี่|ไม่|รู้|ว่า|เป็น|ตัว|หรือ|เปล่า|แต่|ถ้า|ตัว|ละ|250|บาท|แพง|ไก่|ย่าง|ขาย|140-|160|มี|เยอะ|แยะ|ยัง|ได้|กำไร|แพง|สุด|ไม่|ควร|เกิน|ตัว|200|ข้าว|ผัด|ปู|จาน|ใหญ่|300|ร้อย|แพง|ถ้า|ผัด|เป็น|จาน|ๆ|ละ|50|ผัด|4|จาน|ก็|เต็ม|ถาด|ใหญ่|แล้ว|ส่วน|เครื่อง|ดืม|ด้าน|บน|อะไร|80|ถ้า|เป็น|ชา|เย็น|แพง|มาก|น้ำดืม|ขวด|ใหญ่|ขวด|ละ|50|แพง|บ้านเรา|เมือง|ร้อน|อย่า|เห็น|แก่|ตัว|30|ก็|พอ|แล้ว|คน|ต้อง|ซื้อ|เยอะ|เบียร์|ช้าง|ขวด|ละ|120|กำไร|ครึ่ง|ต่อ|ครึ่ง|น่า|เกลียด|มา|3|ขวด|360|แพง|โค๊ด|ขวด|ใหญ่|ก็|แพง|แต่|น้ำ|แข็ง|พอ|ได้|เพราะ|อากาศ|บ้าน|เรา|ร้อน|ละลาย|ง่าย|อัน|นี้|พอ|เข้าใจ|คน|ขาย|แต่|ทะเลเผา|ทะเล|ลวก|ไม่|เห็น|หน้าตา|ว่า|มี|อะไร|บ้าง|ก็|กุ้ง|หมึ|ก|ปู|โละ|300|ตัว|กลาง|ๆ|ใส่|มา|อย่าง|5|ตัว|ปู|สัก|ตัว|กำไร|บานเบอะ|ตำทะเล|ตำ|กุ้ง|สด|150|ไม่|แพง|กุ้งชุป|แป้ง|ทอด|แพง|มาก|ๆ|ต้ม|ยำ|หม้อ|ละ|300|ร้อย|ถือ|ว่า|แพง|มาก|เพราะ|มัน|ใส่|ได้|ไม่|เยอะ|หรอก|มัน|ดี|ตรง|ที่|มี|น้ำ|กับ|ไฟ|อุ่นร้อน|ของ|กิน|ใน|บ้าน|ยัง|แทบ|แตะ|ไม่|ได้|ทั้ง|ที่|ประก็|อุดมสมบูรณ์|คน|ใน|ประเทศ|ยัง|กิน|ไม่|อิม|ส่ง|ออก|นอก|พอ|มี|น้อยเหลือ|น้อย|ก็|ขาย|ให้|กัน|แพง|ๆ|ระบบ|แย่|เอา|เปรียบ|กัน|เอง|ที่|บ้าน|ขาย|อาหาร|กับ|ข้าว|ตาม|สั่ง|ปรุ่ง|สุก|ใหม่|แค่|จาน|ละ|100|-|150|คน|ยัง|ว่า|แพง|ทั้ง|ที่|บอก|ว่า|อร่อย|ถ้า|ไป|เจอ|แบบ|นี้|สงสัย|ช็อค|ตาย|คา|ร้าน|เลย|มัง|ถ้า|ต้อง|ไป|เจอ|ทั้ง|แพง|ทั้ง|ไม่|อร่อย|สัก|แต่|ทำ|ขาย|ใคร|ว่า|ไม่|แพง|ยินดี|ด้วย|ที่|คุณ|เป็น|คน|มี|ตัง|แต่|เรา|มอง|จาก|ค่า|แรง|กลาง|ๆ|ของ|คน|ใน|ประเทศ|นะ|ซึ่ง|ส่วน|มาก|คน|ใน|ประเทศ|ไทย|ได้|แต่|ค่า|แรง|ขั้น|ต่ำ|กับ|เบี้ยขยัน|เล็กน้อย|คน|จน|เยอะ|กว่า|คน|รวย|ด้วย|ทำ|อะไร|ต้อง|นึก|ถึง|ความ|สมควร|นึก|ถึง|กัน|และกัน|แต่|เรา|ไม่|ใช่|คน|เส้น|ตื้น|ชอบ|มอง|และ|คิด|จาก|ความ|เป็น|จริง|ถึง|ขาย|ให้|ชาว|ต่าง|ชาติ|ก็|เถอะ|เหมือน|คน|ไทย|เอา|เปรียบ|ช่วย|โอกาส|และ|ไม่|ค่อย|สัตย์|ซื่อ,432,217,False
0.118174687438847,0.6811813138555486,0.19806125787989096,0.0025827408257133406,neu,neu,หาไรกินไปก่อนนะครับ ยังรอเกบตังลุกค้า น่าจะสาย,หาไร|กิน|ไป|ก่อน|นะ|ครับ|ยัง|รอ|เกบ|ตัง|ลุกค้า|น่า|จะ|สาย,14,14,True
0.19015371428968011,0.7587526025393789,0.04935196577668277,0.0017417173942582053,neu,neu,ป่วยกินไม่ได้,ป่วย|กิน|ไม่|ได้,4,4,True
0.030890129936692785,0.1655992166574276,0.7941451607820855,0.009365492623794179,pos,pos,ขอบคุณของรางวัลมากนะคะ,ขอบคุณ|ของ|รางวัล|มาก|นะ|คะ,6,6,True
0.42949168252875203,0.5162332510498253,0.05320755615351736,0.0010675102679052213,neu,neg,ยาริสคันล่ะล้านห้าแน่เลย นึกว่าขับฟอร์จูน,ยา|ริสคัน|ล่ะ|ล้าน|ห้า|แน่|เลย|นึก|ว่า|ขับ|ฟอร์จูน,11,11,False
0.13213285034461764,0.6873924307404825,0.17669920489041208,0.0037755140244876174,neu,neu,นิสสันมาสมีปะคัฟ,นิสสัน|มา|สมี|ปะคัฟ,4,4,True
